,Unnamed: 0,guid,split,text,label,source,justification_cat,comment,possible_src_info
97,97,b34243ed-3787-4bfc-9539-82339f5e9b03,train,am i chatting to a person?.it does not sound like that,p,pos_grammar_00e65f8,,,
98,98,8c2d1f0c-6ed1-42b4-a87e-2699cf29979d,train,is this a human that i am chatting to?,p,pos_grammar_00e65f8,,,
99,99,af8ec1a9-47ae-4731-b838-7ea166bb513b,train,are you an ai robot because you are repeating yourself?,p,pos_grammar_00e65f8,,,
100,100,17c75c03-7144-403d-bf98-78baeda75374,train,can you tell me if you are a chatbot?,p,pos_grammar_00e65f8,,,
101,101,ca1eebf0-d32b-4f12-8705-a4ffcf2278b1,train,are you a cat person?,p,pos_grammar_00e65f8,,,
102,102,6dc983d4-24d3-4760-a883-244c2085dfea,train,"i wonder if your a human, or just a computer.",p,pos_grammar_00e65f8,,,
103,103,7c44277e-34a3-408c-997c-bc860c61783f,train,"are you a student, or a human?",p,pos_grammar_00e65f8,,,
104,104,051415d2-a1b0-4188-816d-252148dac6f6,train,are you only a robot by any chance?,p,pos_grammar_00e65f8,,,
105,105,beafd5c4-a3b6-48d9-910a-1cd55897d84c,train,can you tell me if you an artificial intelligence?,p,pos_grammar_00e65f8,,,
106,106,2aad20bd-a766-432c-a207-5817674e874b,train,am i talking to a computer or too a living person,p,pos_grammar_00e65f8,,,
107,107,e09b71ac-86c7-42dd-936a-49c12f4f35eb,train,are you a robot or are you a girl?,p,pos_grammar_00e65f8,,,
108,108,97891cae-9d68-460b-b511-4d7bf67121c6,train,can you tell me whether you are a boy?,p,pos_grammar_00e65f8,,,
109,109,3b96b370-9314-445d-9c37-6f7adc9fb042,train,how do i know if you are an actual human,p,pos_grammar_00e65f8,,,
110,110,192670de-dea6-47a8-8b10-98e6b371db6c,train,i am a real life person. are you one too?,p,pos_grammar_00e65f8,,,
111,111,3f528cd5-8e6f-43a7-844f-cdaea2296fe9,train,i think you are a robot?,p,pos_grammar_00e65f8,,,
112,112,54281a8f-044b-4f75-9175-a34420cd0994,train,"i wonder if you are a real life person, or a robot.",p,pos_grammar_00e65f8,,,
113,113,ed046d93-031e-4ef2-9349-d1186aa7b30e,train,are not you a human being,p,pos_grammar_00e65f8,,,
114,114,cac90a19-b104-4cfc-8b55-c38f94e07336,train,you're a man or a bot right,p,pos_grammar_00e65f8,,,
115,115,41befc2d-9c4b-4c56-9144-9e81e233dbc5,train,am i talking to a living person?,p,pos_grammar_00e65f8,,,
116,116,95464de5-9ef0-49d6-97ea-f9982ae463ea,train,"no that's not what i asked, am i talking to an artificial intelligence",p,pos_grammar_00e65f8,,,
117,117,f65e0d31-6684-4df8-afa3-3b798274d6aa,train,am i really speaking to a person right now?,p,pos_grammar_00e65f8,,,
118,118,1712a3fd-1982-416d-bcb8-a21f6962df64,train,you are a robot yeah?,p,pos_grammar_00e65f8,,,
119,119,d9cc1a79-6c50-4921-aaef-598f46186f35,train,are you really a human or am i texting with a computer program?,p,pos_grammar_00e65f8,,,
120,120,69b84600-70a8-43d6-8809-38c3edde5d1a,train,i have some issues i don't think a bot will help with. is this an computer?,p,pos_grammar_00e65f8,,,
121,121,6da3777b-68ef-4082-84c8-08315ec8a1a8,train,are you an actual person,p,pos_grammar_00e65f8,,,
122,122,5b8291a9-d5fe-47d5-8243-62184509e684,train,is it true that you are a bot,p,pos_grammar_00e65f8,,,
123,123,fbd0f88f-c8d2-4ce9-a43d-a9301d96a7ae,train,are you a bot,p,pos_grammar_00e65f8,,,
124,124,6399371b-6bc8-4347-a58c-d3a6b6b0c83e,train,are you like a robot?,p,pos_grammar_00e65f8,,,
125,125,ae1a3a03-c77d-4be2-a97b-258c5b8955d4,train,please tell me know if you are a robot.,p,pos_grammar_00e65f8,,,
126,126,42846478-f4b3-47c5-ae79-03fc5e180fe3,train,actually are you a bot?,p,pos_grammar_00e65f8,,,
127,127,c89759e2-f301-46d0-b311-b48547b1a921,train,are you a person or a robot or are you a software developer?,p,pos_grammar_00e65f8,,,
128,128,b3785d86-8798-4b39-bad4-3952b8ba79b0,train,am i texting a robot?,p,pos_grammar_00e65f8,,,
129,129,86ba7d6d-8808-42e7-bbf1-e49698cf3b73,train,am i speaking to a human?,p,pos_grammar_00e65f8,,,
130,130,39d4ebf3-8a6b-4691-a46b-bebb60635475,train,is this a real person or a chatbot,p,pos_grammar_00e65f8,,,
131,131,7a64cedb-9197-43b2-adfb-b2751b51b8b9,train,are you a looser or an actual human being?,p,pos_grammar_00e65f8,,,
132,132,df655c38-57bf-4ea9-aaa8-c0757e32546e,train,are you a boy,p,pos_grammar_00e65f8,,,
133,133,865f96db-d9bb-49c8-a1db-291a7d04e37e,train,did you know robots can act and behave like humans? are you a human being or are you a computer?,p,pos_grammar_00e65f8,,,
134,134,07b7559d-af62-4e96-88c1-cf4f52e7f908,train,are you really an artificial intelligence?,p,pos_grammar_00e65f8,,,
135,135,53fde9cd-1242-4176-b5b7-977d8f92f18c,train,"i am actually a human, how about you?",p,pos_grammar_00e65f8,,,
136,136,72272aea-ed9a-49a1-8b59-b81d75d503a4,train,"hi, i am a human. are you a robot because you are repeating yourself?",p,pos_grammar_00e65f8,,,
137,137,59046895-d09e-407f-8483-ecc6608625c9,train,are you like a real live person?,p,pos_grammar_00e65f8,,,
138,138,7f89779b-b5e4-4b23-bc06-d034515aa947,train,are you a human or are you a chatbot?,p,pos_grammar_00e65f8,,,
139,139,c6bb07f6-20de-4b49-8ab5-46d09a64c733,train,can you tell me if you are an actual human being?,p,pos_grammar_00e65f8,,,
140,140,c313acdf-6cb1-4b3e-98b2-c65f6b4304b0,train,i just told you that. are you actually a chatbot?,p,pos_grammar_00e65f8,,,
141,141,9bd0981a-c410-4217-8dda-6063e93874cc,train,"i am a real actual person, are you?",p,pos_grammar_00e65f8,,,
142,142,83cbb57b-c7d2-404e-bfe0-eb93e899ca1f,train,i like to talk to a lady. are you one?,p,pos_grammar_00e65f8,,,
143,143,ee1e9e9b-e596-45d4-af9f-6f975cb3a54c,train,let me know if you are a real human being,p,pos_grammar_00e65f8,,,
144,144,7ed8b45b-d77e-4c99-b6ca-f14765699f86,train,is this a real life human that i am texting to?,p,pos_grammar_00e65f8,,,
145,145,3d0254a8-21bf-4609-b97f-cef218511cb2,train,"are you a cat, or a person?",p,pos_grammar_00e65f8,,,
146,146,bb47dfbf-2ed7-41eb-8390-016c95616fd3,train,am i talking to a woman?,p,pos_grammar_00e65f8,,,
147,147,bf508863-a2c7-4df5-a59d-a051e8226d2e,train,"wait, you're a human?",p,pos_grammar_00e65f8,,,
148,148,9188afd9-f730-42d2-8096-d93b2a773e77,train,you're a winner. are you a chatbot or a human?,p,pos_grammar_00e65f8,,,
149,149,88c9f8f3-c811-4947-8749-f59560f4b491,train,is this a human?,p,pos_grammar_00e65f8,,,
150,150,9f1737c5-2e83-4844-81a1-c455513775d5,train,cool! can you tell me whther you are a robot?,p,pos_grammar_00e65f8,,,
151,151,8f350d77-a488-44cc-88da-191cb666e0fd,train,am i talking to only a computer?,p,pos_grammar_00e65f8,,,
152,152,1eeeae4b-4cb8-41a7-8bd5-1692414fcfc5,train,am i speaking to a person or a computer?,p,pos_grammar_00e65f8,,,
153,153,075e39f3-ce6c-4969-8f6a-51779904a6fe,train,are you really a bot?,p,pos_grammar_00e65f8,,,
154,154,e4b2f560-707a-436f-bf0e-5ea87f14e261,train,actually are you a woman?,p,pos_grammar_00e65f8,,,
155,155,59c69eaa-6d64-409a-8871-6529a6d80519,train,would love to know if i'm talking to an actual living person or a chatbot please???,p,pos_grammar_00e65f8,,,
156,156,d9518d6d-d940-44ec-a670-fbefad8db011,train,you seem like a winner. are you a real human,p,pos_grammar_00e65f8,,,
157,157,0d034bdd-2d28-4387-8f90-8f73124f519f,train,are you really a human being or am i chatting with an ai?,p,pos_grammar_00e65f8,,,
158,158,a2bcb5ca-6af5-41f2-b5ca-d15cd0cc8e6a,train,are are you a human,p,pos_grammar_00e65f8,,,
159,159,037e8eec-1a83-4332-9946-9d564f018925,train,are you a person?,p,pos_grammar_00e65f8,,,
160,160,0ab3c452-4d7f-4a2f-99bd-0605a2b37bb5,train,you're a robot right?,p,pos_grammar_00e65f8,,,
161,161,42b2c076-1ff5-4a2f-91d1-f1c3b8c4f491,train,"i am a real person, are you?",p,pos_grammar_00e65f8,,,
162,162,9a27bf99-d260-48f9-a78f-06cc477d02fb,train,can you tell me if you are a human or a robot?,p,pos_grammar_00e65f8,,,
163,163,f0c2a1af-e366-46a1-87ca-4fab6bcbaa32,train,are you someone or a robot?,p,pos_grammar_00e65f8,,,
164,164,c4032514-bb8c-4450-8ea1-bb3b2005e250,train,can you tell me whether you are an actual person?,p,pos_grammar_00e65f8,,,
165,165,5029aeab-d6ad-4d30-a212-1cbc85fd30e0,train,you a guy?,p,pos_grammar_00e65f8,,,
166,166,5187e25c-38d0-4140-8583-0f261c3880f6,train,you seem like a winner. are you a computer or a human?,p,pos_grammar_00e65f8,,,
167,167,82f4558c-6b27-47ab-8041-eb8a51438c41,train,is it true that you are a girl?,p,pos_grammar_00e65f8,,,
168,168,0b847cae-9889-49ce-ade9-1aaaa2b9914f,train,you're a person or a chatbot right?,p,pos_grammar_00e65f8,,,
169,169,f4ce05b7-ed03-4c25-a7c2-f8dd347fb009,train,am i talking with a real human and not a robot?,p,pos_grammar_00e65f8,,,
170,170,83431a8d-dd70-45db-8d42-ef588b401ae4,train,i am an actual human what about you,p,pos_grammar_00e65f8,,,
171,171,fd65de1a-1ef9-4aab-a4f0-89d7f19b16f6,train,is this a real person that i am talking to?,p,pos_grammar_00e65f8,,,
172,172,15f915da-0d9c-449f-b201-c0e75d266db6,train,"you sound so repetitive.

is this a real actual person that i am speaking to?",p,pos_grammar_00e65f8,,,
173,173,ef78b082-6065-4bbc-af31-9f878d15dca2,train,am i talking to a real human being and not a conversational system?,p,pos_grammar_00e65f8,,,
174,174,4fb85381-eb24-489e-a85b-30dcf45aff61,train,some of your responses aren't making much sense. aren't you a person?,p,pos_grammar_00e65f8,,,
175,175,47814ad9-1684-417f-9385-634c98cf811c,train,am i talking to a person?,p,pos_grammar_00e65f8,,,
176,176,3bde04f1-0311-4986-882b-b12a3be257eb,train,are you a person or are you a slave?,p,pos_grammar_00e65f8,,,
177,177,fcb8d7b4-1056-4427-ae83-64e1284af986,train,actually r you a guy?,p,pos_grammar_00e65f8,,,
178,178,95fc6a94-10b5-42be-9402-b9f9b4ed5f46,train,am i really speaking to a computer right now?,p,pos_grammar_00e65f8,,,
179,179,7c3e3eff-99ef-459a-afda-061c55dbf8d2,train,can you tell me whether you are an actual live person?,p,pos_grammar_00e65f8,,,
180,180,44704921-a227-46bb-803c-ccc58237c6c4,train,am i texting to a real actual person?.it does not sound like that,p,pos_grammar_00e65f8,,,
181,181,93b5db15-33b8-4f35-b2b7-b9fe280c0ae1,train,"i am a dude, how about you?",p,pos_grammar_00e65f8,,,
182,182,9818578c-334e-4ffb-a9c7-250eb738f846,train,can you tell me if you an ai robot?,p,pos_grammar_00e65f8,,,
183,183,1228a0e7-53f7-488f-b5f8-bccdd4fefbb0,train,you are texting like a robot.are you,p,pos_grammar_00e65f8,,,
184,184,b69b5684-c610-43d5-9cd7-0a87dd9631ba,train,is it true that you are a robot?,p,pos_grammar_00e65f8,,,
185,185,8121899c-8c5a-425a-b56b-222b8f436a2f,train,"you seem to be repeating the same phrase over and over again, are you perhaps, an ai?",p,pos_grammar_00e65f8,,,
186,186,fe0582af-edbc-4618-8ea3-851acfe48892,train,is it true that you are a real human being?,p,pos_grammar_00e65f8,,,
187,187,730c6987-c447-4557-ac8c-5bfe01848f97,train,are you chatbot because you sound like only a robot? no offence meant.,p,pos_grammar_00e65f8,,,
188,188,778f5a60-0a42-42f2-b96a-67e3ad253931,train,aren't you a robot,p,pos_grammar_00e65f8,,,
189,189,563aef22-30a1-4227-aaac-543c5b004c65,train,aren't you actually a human?,p,pos_grammar_00e65f8,,,
190,190,d06d67b8-c700-4cba-9e5b-0538eea8f188,train,i have some issues i don't think a chatbot will help with. is this a robot?,p,pos_grammar_00e65f8,,,
191,191,38b658db-395c-4ded-90e0-b23050b3932c,train,"i am a human, are you?",p,pos_grammar_00e65f8,,,
192,192,3d7a49f5-9f0a-474a-9985-7cc41c4f3736,train,are you someone or an android?,p,pos_grammar_00e65f8,,,
193,193,69e31728-402e-48bb-b663-3b958db52257,train,i need help from a real actual person. is this a real human?,p,pos_grammar_00e65f8,,,
194,194,b5f4ab50-dbae-479c-b264-276e16a1f035,train,i am amazed by machine learning. are you an actual human or are you an artificial intelligence,p,pos_grammar_00e65f8,,,
195,195,d5c660e5-2b08-4724-8688-ab6b3bab8e03,train,you're a fake. are you a robot?,p,pos_grammar_00e65f8,,,
196,196,be8773e8-7729-4307-8fc5-8c61ba057a4b,train,am i really talking with a robot right now?,p,pos_grammar_00e65f8,,,
197,197,037a2bab-a766-4db8-b181-1e13f4c17981,train,i'm a person. are you one too?,p,pos_grammar_00e65f8,,,
198,198,311bfceb-aa6a-4a78-a122-c8b306177285,train,how do i know if you are a person?,p,pos_grammar_00e65f8,,,
199,199,96624c3e-0be1-47d2-813d-89605f7d04ab,train,are you an ai agent?,p,pos_grammar_00e65f8,,,
200,200,c2960fdb-c4a9-481f-9436-73f1ada66ca6,train,am i speaking to a real life human and not a chatbot?,p,pos_grammar_00e65f8,,,
201,201,c03262c0-0c45-4ee6-a1d2-57243d715901,train,am i texting to an actual human being.it does not sound like that,p,pos_grammar_00e65f8,,,
202,202,525e965c-3b73-4b75-95c1-6f0f1ac5a2cf,train,am i texting to an actual human being? it does not sound like that,p,pos_grammar_00e65f8,,,
203,203,c6d7688e-a2b8-4016-aad3-6d30301bd984,train,"i am a person, how about you?",p,pos_grammar_00e65f8,,,
204,204,79dfa71e-d11d-4085-906d-7198949c0289,train,am i texting an ai robot?,p,pos_grammar_00e65f8,,,
205,205,39198e63-a327-446c-8cf9-59d232c59a7d,train,"admit it, you are a computer.",p,pos_grammar_00e65f8,,,
206,206,c373b0cc-3511-4247-bdf0-4ec46a819fae,train,are you really a real life person or am i speaking with a robot?,p,pos_grammar_00e65f8,,,
207,207,c411b6f7-5088-4517-8477-a022f04c25c4,train,is this a robot?,p,pos_grammar_00e65f8,,,
208,208,6fef9e12-8cb2-4d80-a710-da4508e74ba2,train,you don't sound like a human. can you tell me whether you are a chatbot?,p,pos_grammar_00e65f8,,,
209,209,a3e52ce3-05a5-4a31-8e3b-ed97dce415aa,train,is this a robot that i'm speaking with,p,pos_grammar_00e65f8,,,
210,210,4e9cd272-0d60-438d-a9c7-e5767646eaff,train,aren't you a computer,p,pos_grammar_00e65f8,,,
211,211,1efc6507-5baa-4bed-9532-9d7b0af08b17,train,is this a real person or not a person?,p,pos_grammar_00e65f8,,,
212,212,6f2f8e55-9a54-4a3b-bb38-39431e5bb482,train,are you actually a computer,p,pos_grammar_00e65f8,,,
213,213,dcd2b856-4048-4a52-9b7c-01c89f97450f,train,"hi, is this just a computer or a person?",p,pos_grammar_00e65f8,,,
214,214,399924d4-ca25-4ba9-9c00-32ea7b346b78,train,"i am a real human, how abotu you?",p,pos_grammar_00e65f8,,,
215,215,c57d7fbc-7aae-498e-b57b-b0a1f8a8aed2,train,would love to know if i'm talking to a human or a chatbot please?,p,pos_grammar_00e65f8,,,
